Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR32732804,WGS,134,4347080062,PRJNA1237248,SAMN47413056,Metagenome or environmental,2442056697,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019491,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000421392.fastq.gz,38.98 N 77.11 W,V000421392,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:38:00Z,1,V000421392,SRP570890
SRR32732805,WGS,138,4518085311,PRJNA1237248,SAMN47413055,Metagenome or environmental,2526204309,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019490,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000421387.fastq.gz,38.98 N 77.11 W,V000421387,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:38:00Z,1,V000421387,SRP570890
SRR32732806,WGS,131,5846988303,PRJNA1237248,SAMN47412722,Metagenome or environmental,3347177241,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019489,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000326862.fastq.gz,38.98 N 77.11 W,V000326862,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:39:00Z,1,V000326862,SRP570890
SRR32732807,WGS,138,5326889678,PRJNA1237248,SAMN47413054,Metagenome or environmental,2939446722,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019488,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000421352.fastq.gz,38.98 N 77.11 W,V000421352,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:39:00Z,1,V000421352,SRP570890
SRR32732808,WGS,131,5408807920,PRJNA1237248,SAMN47413053,Metagenome or environmental,3112788589,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019487,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000421337.fastq.gz,38.98 N 77.11 W,V000421337,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:39:00Z,1,V000421337,SRP570890
SRR32732809,WGS,133,5133663549,PRJNA1237248,SAMN47413052,Metagenome or environmental,2924641834,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019486,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000421267.fastq.gz,38.98 N 77.11 W,V000421267,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:38:00Z,1,V000421267,SRP570890
SRR32732810,WGS,134,6410995695,PRJNA1237248,SAMN47413051,Metagenome or environmental,3576622657,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019485,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000420197.fastq.gz,38.98 N 77.11 W,V000420197,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:40:00Z,1,V000420197,SRP570890
SRR32732811,WGS,139,6192379379,PRJNA1237248,SAMN47413050,Metagenome or environmental,3429445180,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019484,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000420192.fastq.gz,38.98 N 77.11 W,V000420192,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:41:00Z,1,V000420192,SRP570890
SRR32732812,WGS,134,8012925291,PRJNA1237248,SAMN47413049,Metagenome or environmental,4651535795,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019483,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000420177.fastq.gz,38.98 N 77.11 W,V000420177,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:48:00Z,1,V000420177,SRP570890
SRR32732813,WGS,127,4431184290,PRJNA1237248,SAMN47413048,Metagenome or environmental,2564723354,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2024-10-30,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28019482,USA,North America,USA,Homo sapiens,Illumina HiSeq 4000,V000420120.fastq.gz,38.98 N 77.11 W,V000420120,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2025-03-17T00:00:00Z,2025-03-17T09:37:00Z,1,V000420120,SRP570890
