"species_taxon_id","genus_taxon_id","genus_name"
"619805","944321","Soonwooa"
"1768011","28453","Sphingobacterium"
"2044603","28453","Sphingobacterium"
"2762230","83614","Luteimonas"
"82995","613","Serratia"
"2906072","182269","Aurantimonas"
"1652","1651","Alloiococcus"
"29321","1716","Corynebacterium"
"84163","84162","Cryptobacterium"
"713053",NA,NA
"938289","1715798","Levyella"
"305","48736","Ralstonia"
"346","338","Xanthomonas"
"95486","32008","Burkholderia"
"413712","13687","Sphingomonas"
"2650745","338","Xanthomonas"
"2561898","194","Campylobacter"
"82374","82373","Anaerovibrio"
"38302","1716","Corynebacterium"
"2592656","57739","Vogesella"
"2592333","1769710","Sellimonas"
"1249","46255","Weissella"
"1307","1301","Streptococcus"
"1313","1301","Streptococcus"
"2748","2747","Carnobacterium"
"2751","2747","Carnobacterium"
"57037","2759736","Lacticaseibacillus"
"105612","2767880","Dellaglioa"
"237576","265975","Oribacterium"
"1528099","1847725","Lawsonella"
"1547448","2801844","Arachnia"
"2749961","3436058","Pseudolactococcus"
"1490","1849822","Paraclostridium"
"1561","1485","Clostridium"
"1587","1578","Lactobacillus"
"157687","32067","Leptotrichia"
"1718","1716","Corynebacterium"
"979627","1164882","Lachnoanaerobaculum"
"54297","2596745","Limnospira"
"86332","86331","Mogibacterium"
"1501329","265975","Oribacterium"
"1605","2767887","Ligilactobacillus"
"1502943","29465","Veillonella"
"1907659","572511","Blautia"
"373054","373053","Calditerricola"
"1333651","1678","Bifidobacterium"
"102862","583","Proteus"
"1852385","133925","Olsenella"
"61646","1330545","Lelliottia"
"1871024","1981033","Mordavella"
"1965551","216851","Faecalibacterium"
"1748","1912215","Acidipropionibacterium"
"2742600","2742598","Limosilactobacillus"
"84136","1378","Gemella"
"1445614","1653174","Actinotignum"
"2678506","1263","Ruminococcus"
"2086575","375288","Parabacteroides"
"208223","1330547","Kosakonia"
"747645","1427376","Parvibacter"
"1965654","1506553","Lachnoclostridium"
"1965545","1506577","Tyzzerella"
"1252","1243","Leuconostoc"
"2487355","286","Pseudomonas"
"1472765","162289","Peptoniphilus"
"2024205","2024199","Urinicoccus"
"2763669","2944195","Qiania"
"39441","2172","Methanobrevibacter"
"580026","447020","Adlercreutzia"
"317010","1350","Enterococcus"
"885040","547","Enterobacter"
"1670446","2767842","Lactiplantibacillus"
"1796610","447020","Adlercreutzia"
"1965569","1506553","Lachnoclostridium"
"2011094",NA,NA
"361872","209","Helicobacter"
"1841865","1926659","Mediterranea"
"1871017","2981628","Aedoeadaptatus"
"915173","1573536","Faecalicoccus"
"1965558","946234","Flavonifractor"
"2841525","1017280","Pseudoflavonifractor"
"1871022","2082587","Parolsenella"
"36740","36739","Dermabacter"
"200","194","Campylobacter"
"135080","82202","Centipeda"
"176291","2767890","Paucilactobacillus"
"1778540","204037","Dickeya"
"2814654","544","Citrobacter"
"2841534","41273","Tissierella"
"36805","33882","Microbacterium"
"502558","84111","Eggerthella"
"59561","1069494","Trueperella"
"585","583","Proteus"
"1904861",NA,NA
"168384","248744","Marvinbryantia"
"156456","906","Megasphaera"
"1852379","906","Megasphaera"
"1945634","580596","Butyricicoccus"
"2030806",NA,NA
"39029","906","Megasphaera"
"2779518","572511","Blautia"
"1267","1266","Sarcina"
"29372","1485","Clostridium"
"544581","1654","Actinomyces"
"1363","1357","Lactococcus"
"425941","2974257","Hoylesella"
"2796361","32257","Kingella"
"1111454","906","Megasphaera"
"1201031","122277","Pectobacterium"
"71451","1350","Enterococcus"
"1965590","397864","Barnesiella"
"227944","1578","Lactobacillus"
"53444","2767881","Fructilactobacillus"
"44008","1350","Enterococcus"
"44009","1350","Enterococcus"
"1780378",NA,NA
"51123",NA,NA
"155866","46255","Weissella"
"2100821","2759736","Lacticaseibacillus"
"1871016","102106","Collinsella"
"28134","2974257","Hoylesella"
"304207","2767891","Schleiferilactobacillus"
"2605790","841","Roseburia"
"1796646","1918540","Muribaculum"
"28133","838","Prevotella"
"39489","1485","Clostridium"
"1776381","1979843","Olegusella"
"1944634","82202","Centipeda"
"28264","28263","Arcanobacterium"
"236753","236752","Fastidiosipila"
"1871033","133925","Olsenella"
"1329","1301","Streptococcus"
"5482","5475","Candida"
"33941","129337","Geobacillus"
"43765","1716","Corynebacterium"
"467210","1164882","Lachnoanaerobaculum"
"178001","1243","Leuconostoc"
"160453","1350","Enterococcus"
"545","544","Citrobacter"
"1658108","1973274","Niameybacter"
"68891","1301","Streptococcus"
"2606634","2815780","Velocimicrobium"
"2883292",NA,NA
"40324","40323","Stenotrophomonas"
"72000","57493","Kocuria"
"312306","286","Pseudomonas"
"86956","864","Pectinatus"
"1631871","46255","Weissella"
"1965583","1506553","Lachnoclostridium"
"39484","2048137","Agathobaculum"
"2891570","1504576","Pseudocitrobacter"
"2049043",NA,NA
"28135","2974251","Segatella"
"1334","1301","Streptococcus"
"43770","1716","Corynebacterium"
"689904","41273","Tissierella"
"1585974","1922299","Beduini"
"2364796","1263","Ruminococcus"
"1115758","1501226","Romboutsia"
"1602","2767879","Companilactobacillus"
"1470356","1485","Clostridium"
"56774",NA,NA
"1574161","583","Proteus"
"1096246","1649459","Hungatella"
"397865","397864","Barnesiella"
"5478","374468","Nakaseomyces"
"2596920",NA,NA
"2866588","255204","Pseudoclavibacter"
"2707005","44249","Paenibacillus"
"630","629","Yersinia"
"1684","1678","Bifidobacterium"
"44007","1350","Enterococcus"
"44252","44249","Paenibacillus"
"71453","51668","Tetragenococcus"
"116718","44249","Paenibacillus"
"400946","582472","Wohlfahrtiimonas"
"652708",NA,NA
"33028","1279","Staphylococcus"
"290054","1730","Eubacterium"
"2799560",NA,NA
"1755099","2994443","Pseudenterobacter"
"2610880","1678","Bifidobacterium"
"1687","1678","Bifidobacterium"
"2799577","2759736","Lacticaseibacillus"
"52229","52228","Hallella"
"2804314","872","Desulfovibrio"
"177972","177971","Shuttleworthella"
"641148","482","Neisseria"
"1509","1485","Clostridium"
"228604","2974251","Segatella"
"109790","1578","Lactobacillus"
"2364791","1350","Enterococcus"
"29354","2719231","Lacrimispora"
"1828","3259750","Rhodococcoides"
"160826","1839","Nocardioides"
"305517","1839","Nocardioides"
"53346","1350","Enterococcus"
"2789592","848","Fusobacterium"
"228229","2767887","Ligilactobacillus"
"2729622","2767893","Lentilactobacillus"
"1679444","239934","Akkermansia"
"151276","816","Bacteroides"
"2714926","156973","Dysgonomonas"
"199592","33882","Microbacterium"
"28028","1716","Corynebacterium"
"650","642","Aeromonas"
"38313","22","Shewanella"
"4909","4919","Pichia"
"148604","2742598","Limosilactobacillus"
"1295565","1775121","Larsenimonas"
"813","810","Chlamydia"
"168471","168470","Laribacter"
"881","2802295","Nitratidesulfovibrio"
"488447","32008","Burkholderia"
"713059",NA,NA
"1583098","848","Fusobacterium"
"167481","2767879","Companilactobacillus"
"80878","12916","Acidovorax"
"1768210","2737","Vagococcus"
"1871012","1935192","Mobilibacterium"
"2652279","133925","Olsenella"
"2726201","133925","Olsenella"
"2894156","2995122","Leptogranulimonas"
"1296","2803850","Mammaliicoccus"
"1612","2767879","Companilactobacillus"
"29385","1279","Staphylococcus"
"89059","2767887","Ligilactobacillus"
"1970790","2742598","Limosilactobacillus"
"2559925","1350","Enterococcus"
"2578104","33882","Microbacterium"
"31973","1279384","Eggerthia"
"28137","838","Prevotella"
"671224","82202","Centipeda"
"712359","32067","Leptotrichia"
"135082","82202","Centipeda"
"331679","1253","Pediococcus"
"407975","2974257","Hoylesella"
"652706","265975","Oribacterium"
"1309411","1298","Deinococcus"
"676","662","Vibrio"
"2741497","2739835","Peptidiphaga"
"2572087",NA,NA
"1251","1243","Leuconostoc"
"379893","158851","Trabulsiella"
"2202164","547","Enterobacter"
"103810","34084","Riemerella"
"2841504","2591381","Dysosmobacter"
"128785","83618","Pseudoxanthomonas"
"2086579","816","Bacteroides"
"180588","497","Psychrobacter"
"2763054","2316020","Mediterraneibacter"
"316","2901164","Stutzerimonas"
"2032568",NA,NA
"2750","2747","Carnobacterium"
"2758709","497","Psychrobacter"
"225894","1742989","Glutamicibacter"
"1965646","397864","Barnesiella"
"2039","2038","Tropheryma"
"2293110","33969","Melissococcus"
"502393","3076174","Gemelliphila"
"59814","53335","Pantoea"
"472693","53335","Pantoea"
"684066","1301","Streptococcus"
"1339239","180162","Cetobacterium"
"2759681","180162","Cetobacterium"
"69218","547","Enterobacter"
"1470350","1470349","Candidatus Stoquefichus"
"164393","2767885","Latilactobacillus"
"2507161","2992720","Acidilutibacter"
"944208","12967","Blastocystis"
"1398","2837504","Heyndrickxia"
"2756","2755","Brochothrix"
"2153354","570","Klebsiella"
"2582917","570","Klebsiella"
"1288","1279","Staphylococcus"
"2763677","2983249","Zongyangia"
"51663","1253","Pediococcus"
"227945","1578","Lactobacillus"
"1796634","1918542","Muricomes"
"1501332","265975","Oribacterium"
"2709401","1350","Enterococcus"
"69824","3025755","Thomasclavelia"
"1261635","841","Roseburia"
"2051","2050","Mobiluncus"
"2754044","82202","Centipeda"
"1218493","1578","Lactobacillus"
"1218494","1578","Lactobacillus"
"2718","2717","Cardiobacterium"
"267212","482","Neisseria"
"554406","32067","Leptotrichia"
"1581","2767893","Lentilactobacillus"
"152331","2767893","Lentilactobacillus"
"390842","2767893","Lentilactobacillus"
"481723","2767893","Lentilactobacillus"
"2759748","2742598","Limosilactobacillus"
"1258","162289","Peptoniphilus"
"1365","3436058","Pseudolactococcus"
"1366","3436058","Pseudolactococcus"
"421530","2782229","Epilithonimonas"
"1494462","1357","Lactococcus"
"1879049","469","Acinetobacter"
"60520","2767842","Lactiplantibacillus"
"492670","1386","Bacillus"
"1673719","165779","Anaerococcus"
"201","194","Campylobacter"
"2486011","2759736","Lacticaseibacillus"
"59505","1653174","Actinotignum"
"241555","31983","Helcococcus"
"82203","82202","Centipeda"
"1796616","572511","Blautia"
"2058293","82202","Centipeda"
"2012495","1578","Lactobacillus"
"712156","1380","Atopobium"
"2608404","838","Prevotella"
"549","53335","Pantoea"
"84030","2719231","Lacrimispora"
"253257","2719231","Lacrimispora"
"88233","2759736","Lacticaseibacillus"
"5476","5475","Candida"
"2787110","1485","Clostridium"
"2730920","2026349","Enterovirga"
"2951143","191303","Turicibacter"
"33012","203133","Propionimicrobium"
"35841","1276290","Caldibacillus"
"154621","1350","Enterococcus"
"178214","66831","Facklamia"
"1274374","44249","Paenibacillus"
"1325934","1654","Actinomyces"
"1714681","2767892","Secundilactobacillus"
"1739479","1654","Actinomyces"
"1820010","44249","Paenibacillus"
"2559926","1350","Enterococcus"
"2750996","1678","Bifidobacterium"
"1511761","1243","Leuconostoc"
"100468","2767891","Schleiferilactobacillus"
"156976","1716","Corynebacterium"
"508451","1578","Lactobacillus"
"2785133","946234","Flavonifractor"
"1749","1912215","Acidipropionibacterium"
"169292","1716","Corynebacterium"
"43771","1716","Corynebacterium"
"2944915","1348911","Coprobacter"
"480391","1253","Pediococcus"
"1283","1279","Staphylococcus"
"118748","118747","Bulleidia"
"2749962","3436058","Pseudolactococcus"
"910540","1243","Leuconostoc"
"38304","1716","Corynebacterium"
"1290","1279","Staphylococcus"
"33010","1912216","Cutibacterium"
"40091","31983","Helcococcus"
"202789","76833","Actinobaculum"
"598660","1716","Corynebacterium"
"33007","2692118","Winkia"
"1077256","2316","Methanosphaera"
"2098","2895509","Metamycoplasma"
"1673723","1161127","Murdochiella"
"2709792","872","Desulfovibrio"
"1917867","2005387","Bacilliculturomica"
"258","28453","Sphingobacterium"
"293","41275","Brevundimonas"
"32002","222","Achromobacter"
"46680","286","Pseudomonas"
"80866","80865","Delftia"
"128780","40323","Stenotrophomonas"
"146939","146937","Azospira"
"358220","12916","Acidovorax"
"420404","2782229","Epilithonimonas"
"428988","237","Flavobacterium"
"1287735","222","Achromobacter"
"1410620","323620","Shinella"
"1679169","1386","Bacillus"
"1854498","59732","Chryseobacterium"
"1857024","1696","Brevibacterium"
"2219225","286","Pseudomonas"
"2615184","33882","Microbacterium"
"2961893","286","Pseudomonas"
"429571","12967","Blastocystis"
"43263","3236652","Aquipseudomonas"
"1943571","12916","Acidovorax"
"2162","2160","Methanobacterium"
"1379702","2160","Methanobacterium"
"1965615","133925","Olsenella"
"2841519","1730","Eubacterium"
"69966","3076173","Macrococcoides"
"1032851","1716","Corynebacterium"
"1531429","2815775","Berryella"
"2491045","872","Desulfovibrio"
"1282858","1434046","Sphingorhabdus"
"1398493","1504576","Pseudocitrobacter"
"2026","2023","Thermoactinomyces"
"28042","1835","Saccharopolyspora"
"83526","2767879","Companilactobacillus"
"83683","1578","Lactobacillus"
"319652","1253","Pediococcus"
"392416","2767879","Companilactobacillus"
"714067","1274351","Kroppenstedtia"
"282402","838","Prevotella"
"2490953","29465","Veillonella"
"33968","1243","Leuconostoc"
"2340916","1817","Nocardia"
"1600","1578","Lactobacillus"
"1648","1647","Erysipelothrix"
"1622","2767887","Ligilactobacillus"
"151781","1578","Lactobacillus"
"58621","872","Desulfovibrio"
"2666132","872","Desulfovibrio"
"303","286","Pseudomonas"
"2715754","59732","Chryseobacterium"
"2817027","28100","Phyllobacterium"
"664639","57493","Kocuria"
"2695267","1696","Brevibacterium"
"588","586","Providencia"
"2724150","1501226","Romboutsia"
"85336","32207","Rothia"
"1608583","1301","Streptococcus"
"1889813",NA,NA
"1004261","182709","Oceanobacillus"
"164330","33057","Thauera"
"636","635","Edwardsiella"
"76761","286","Pseudomonas"
"2800381","1883","Streptomyces"
"1721","1716","Corynebacterium"
"87541","1375","Aerococcus"
"1423","1386","Bacillus"
"40543","168808","Sneathia"
"884684","1637257","Mageeibacillus"
"1000568","906","Megasphaera"
"1219585","28263","Arcanobacterium"
"1284775","838","Prevotella"
"1588751",NA,NA
"3417040","3472368","Umbribacter"
"2892541","400634","Lysinibacillus"
"29448","374","Bradyrhizobium"
"2736289","558436","Xylanibacter"
"2787101","1485","Clostridium"
"103816","1827","Rhodococcus"
"670","662","Vibrio"
"3029274","3079925","Amygdalobacter"
"2560852","102106","Collinsella"
"533323","497","Psychrobacter"
"1868793","1470540","Jeotgalibaca"
"2604941","286","Pseudomonas"
"28080","194","Campylobacter"
"837","836","Porphyromonas"
"29489","642","Aeromonas"
"38293","657","Photobacterium"
"2665504","1485","Clostridium"
"61648","579","Kluyvera"
"1151742","1357","Lactococcus"
"2050967","583","Proteus"
"498","497","Psychrobacter"
"81947","2737","Vagococcus"
"158849","158848","Moellerella"
"1646340","1330547","Kosakonia"
"1720315","3025073","Hugonella"
"12968","12967","Blastocystis"
"1494461","3436058","Pseudolactococcus"
"37372","209","Helicobacter"
"179995","13334","Anaerobiospirillum"
"158","157","Treponema"
"502","32257","Kingella"
"824","194","Campylobacter"
"1017","1016","Capnocytophaga"
"1018","1016","Capnocytophaga"
"1019","1016","Capnocytophaga"
"28112","195950","Tannerella"
"28136","2974251","Segatella"
"35518",NA,NA
"40542","32067","Leptotrichia"
"41976","836","Porphyromonas"
"43997","43996","Catonella"
"45242","1016","Capnocytophaga"
"51160","157","Treponema"
"53419","157","Treponema"
"69710","157","Treponema"
"76123","2974257","Hoylesella"
"109328","32067","Leptotrichia"
"138851","157","Treponema"
"143361","44259","Filifactor"
"157691","32067","Leptotrichia"
"189722","2974257","Hoylesella"
"189723","838","Prevotella"
"327575","1016","Capnocytophaga"
"340486","838","Prevotella"
"439703","2974251","Segatella"
"633701","2974257","Hoylesella"
"712357","32067","Leptotrichia"
"712361","32067","Leptotrichia"
"712368","32067","Leptotrichia"
"712437","836","Porphyromonas"
"712710","195950","Tannerella"
"712711","195950","Tannerella"
"712991",NA,NA
"1227265","1016","Capnocytophaga"
"1288391","1654","Actinomyces"
"1292024","872","Desulfovibrio"
"1540874",NA,NA
"1795832","538","Eikenella"
"1852388","32067","Leptotrichia"
"1986146","893","Desulfobulbus"
"2045302","219181","Ottowia"
"2220000","2801844","Arachnia"
"2490854","838","Prevotella"
"2766595","1283313","Alloprevotella"
"2766702","157","Treponema"
"2766703","157","Treponema"
"2819369","1016","Capnocytophaga"
"2866573","2717","Cardiobacterium"
"1433844","838","Prevotella"
"2490857","47670","Lautropia"
"2799636","43996","Catonella"
"2779506","32257","Kingella"
"34073","34072","Variovorax"
"1904757","32008","Burkholderia"
"2320099",NA,NA
"2489218",NA,NA
"1462569","816","Bacteroides"
"174709","174708","Allobaculum"
"310514","52228","Hallella"
"1943580","638847","Pyramidobacter"
"255723","84108","Slackia"
"2724178","286","Pseudomonas"
"2834460","174708","Allobaculum"
"41997","1350","Enterococcus"
"210","209","Helicobacter"
"227942","2742598","Limosilactobacillus"
"1812262","32207","Rothia"
"1852373","1161127","Murdochiella"
"82348","1301","Streptococcus"
"84031","1485","Clostridium"
"65735","265","Paracoccus"
"69279","69278","Aquamicrobium"
"82346","82345","Ornithinicoccus"
"561088","3143707","Aerobium"
"1962232","49279","Gelidibacter"
"2065379","265","Paracoccus"
"2755039","46913","Devosia"
"66851","2172","Methanobrevibacter"
"4959","4958","Debaryomyces"
"246432","1279","Staphylococcus"
"2529381","547","Enterobacter"
"1614","2767881","Fructilactobacillus"
"104955","2742598","Limosilactobacillus"
"577","570","Klebsiella"
"1501432","1654787","Thiopseudomonas"
"566","2055880","Pseudescherichia"
"645","642","Aeromonas"
"1396","1386","Bacillus"
"155322","1386","Bacillus"
"1617889","2767879","Companilactobacillus"
"1296540","2767890","Paucilactobacillus"
"2888272","2767882","Furfurilactobacillus"
"1805472","1485","Clostridium"
"2939578","32207","Rothia"
"29311","1763","Mycobacterium"
"2949669","3048547","Curtanaerobium"
"658665","189330","Dorea"
"1965661","1017280","Pseudoflavonifractor"
"1356","1350","Enterococcus"
"487316","469","Acinetobacter"
"252130","299568","Uruburuella"
"1965587","1924093","Anaeromassilibacillus"
"46256","46255","Weissella"
"1776045","1485","Clostridium"
"2738","2737","Vagococcus"
"1111473","1522056","Flaviflexus"
"2749964",NA,NA
"859","848","Fusobacterium"
"155865","1730","Eubacterium"
"231049","2767882","Furfurilactobacillus"
"5741","5740","Giardia"
"1977277","165779","Anaerococcus"
"2053716","2974251","Segatella"
"1292","1279","Staphylococcus"
"33034","165779","Anaerococcus"
"1288120","165779","Anaerococcus"
"1689303","1945592","Lagierella"
"1720298","162289","Peptoniphilus"
"1391647","1485","Clostridium"
"38303","1716","Corynebacterium"
"137732","117563","Granulicatella"
"146827","1716","Corynebacterium"
"302449","1716","Corynebacterium"
"33029","165779","Anaerococcus"
"1891242",NA,NA
"53374","1716","Corynebacterium"
"156978","1716","Corynebacterium"
"1230998","1716","Corynebacterium"
"1472764","1472763","Kallipyga"
"1673726",NA,NA
"1852374","1582879","Ezakiella"
"28197","2321111","Aliarcobacter"
"82983","82982","Obesumbacterium"
"1286","1279","Staphylococcus"
"54007","165779","Anaerococcus"
"938293","165779","Anaerococcus"
"1673725","162289","Peptoniphilus"
"2899727","2967351","Mediannikoviicoccus"
"1871031","2847307","Thermophilibacter"
"206043","1654","Actinomyces"
"290052","35829","Acetivibrio"
"165813","165812","Sporanaerobacter"
"38286","1716","Corynebacterium"
"38301","1716","Corynebacterium"
"1745712","165779","Anaerococcus"
"1965623","1918540","Muribaculum"
"1321780","52225","Mitsuokella"
"2508867","838","Prevotella"
"67826","544","Citrobacter"
"1852372","184869","Varibaculum"
