"ncbi_taxon_id","scientific_name","rank"
2763663,"Enterocloster hominis (ex Liu et al. 2021)","species"
2764322,"Hydrogeniiclostridium mannosilyticum","species"
2764712,"Lentihominibacter faecis","species"
2779352,"Pseudoflavonifractor gallinarum","species"
2850323,"Diplocloster agilis","species"
2883268,"Colidextribacter sp. 210702-DFI.3.9","species"
2883295,"bacterium 210917-DFI.7.65","species"
2885350,NA,NA
2931980,"Lachnospiraceae bacterium NSJ-143","species"
2939420,"Phascolarctobacterium sp. ET69","species"
1309,"Streptococcus mutans","species"
1310,"Streptococcus sobrinus","species"
1382,"Lancefieldella parvula","species"
1535,"[Clostridium] leptum","species"
1583,"Weissella confusa","species"
1590,"Lactiplantibacillus plantarum","species"
1613,"Limosilactobacillus fermentum","species"
1660,"Schaalia odontolytica","species"
1681,"Bifidobacterium bifidum","species"
1689,"Bifidobacterium dentium","species"
2741,"Peptococcus niger","species"
28038,"Latilactobacillus curvatus","species"
28101,"Phyllobacterium myrsinacearum","species"
28125,"Prevotella bivia","species"
28127,"Hoylesella buccalis","species"
28128,"Prevotella corporis","species"
28130,"Prevotella disiens","species"
29348,"Thomasclavelia spiroformis","species"
31971,"Amedibacillus dolichus","species"
33032,"Anaerococcus lactolyticus","species"
33043,"Coprococcus eutactus","species"
39491,"Agathobacter rectalis","species"
39496,"Eubacterium ventriosum","species"
46503,"Parabacteroides merdae","species"
52769,"Actinomyces gerencseriae","species"
53443,"Blautia hydrogenotrophica","species"
55565,"Actinomyces graevenitzii","species"
56946,"Afipia broomeae","species"
74426,"Collinsella aerofaciens","species"
82380,"Microbacterium oxydans","species"
97478,"Limosilactobacillus mucosae","species"
100884,"Coprobacillus cateniformis","species"
114527,"Mogibacterium diversum","species"
131111,"Schaalia turicensis","species"
143393,"[Eubacterium] sulci","species"
154288,"Turicibacter sanguinis","species"
178339,"Pauljensenia hongkongensis","species"
187101,"Sneathia vaginalis","species"
204516,"Phocaeicola massiliensis","species"
270498,"Christensenella hongkongensis","species"
272548,"Actinomyces dentalis","species"
281920,"Porphyromonas uenonis","species"
328814,"Alistipes shahii","species"
363265,"Leyella stercorea","species"
363952,"Comamonas thiooxydans","species"
386414,"Hoylesella timonensis","species"
410072,"Allocoprococcus comes","species"
437897,"Megamonas funiformis","species"
454154,"Paraprevotella clara","species"
471189,"Gordonibacter pamelaeae","species"
474960,"Hydrogenoanaerobacterium saccharovorans","species"
487174,"Barnesiella intestinihominis","species"
498718,"Slackia equolifaciens","species"
507750,"Peptoniphilus duerdenii","species"
544580,"Actinomyces oris","species"
556499,"Propionibacterium acidifaciens","species"
592978,"Mediterraneibacter faecis","species"
674529,"Bacteroides faecis","species"
712157,"Atopobium sp. oral taxon 416","species"
745368,"Gemmiger formicilis","species"
936548,"Actinomyces sp. ICM47","species"
1219626,"Peptostreptococcus sp. MV1","species"
1288121,"Alistipes senegalensis","species"
1393034,"Atopobium deltae","species"
1432052,"Eisenbergiella tayi","species"
1470347,"Alistipes ihumii","species"
1472416,"Butyricimonas faecihominis","species"
1501392,"Coprobacter secundus","species"
1653435,"Merdimonas faecis","species"
1712515,"Butyricicoccus faecihominis","species"
1720194,"Clostridium sp. AT4","species"
1720313,"Bittarella massiliensis (ex Durand et al. 2017)","species"
1723384,"Fenollaria timonensis","species"
1776392,"Massiliimicrobium timonense","species"
1852361,"Actinomyces bouchesdurhonensis","species"
1870997,"Alterileibacterium massiliense","species"
1871035,"Negativibacillus massiliensis","species"
1871336,"Criibacterium bergeronii","species"
1898204,"Clostridiaceae bacterium","species"
1898207,"Clostridiales bacterium","species"
1907662,"Raoultibacter timonensis","species"
2058289,"Acidaminococcus provencensis","species"
2161815,"Gordonibacter sp. Marseille-P4307","species"
2259133,"Mesosutterella multiformis","species"
2292182,"Clostridiaceae bacterium AF18-31LB","species"
2292272,"Lachnospiraceae bacterium OM04-12BH","species"
2293028,"Clostridium sp. AM29-11AC","species"
2293035,"Clostridium sp. AM49-4BH","species"
2293126,"Roseburia sp. AF02-12","species"
2316025,"Mediterraneibacter butyricigenes","species"
2509240,"Blautia faecicola","species"
2582419,"Dialister hominis","species"
2585118,"Alistipes communis","species"
2585119,"Alistipes dispar","species"
2735723,"Turicibacter bilis","species"
2830654,"Clostridiaceae bacterium Marseille-Q3526","species"
2830657,"Clostridiaceae bacterium Marseille-Q4143","species"
2830658,"Clostridiaceae bacterium Marseille-Q4145","species"
2841532,"Intestinimonas sp. MSJ-38","species"
2881266,NA,NA
2881276,"Fusicatenibacter faecihominis","species"
2929491,"Faecalibacterium wellingii","species"
2931401,"Cuneatibacter sp. NSJ-177","species"
850,"Fusobacterium mortiferum","species"
907,"Megasphaera elsdenii","species"
1680,"Bifidobacterium adolescentis","species"
28111,"Bacteroides eggerthii","species"
33039,"Mediterraneibacter torques","species"
39486,"Dorea formicigenerans","species"
40519,"Ruminococcus callidus","species"
43675,"Rothia mucilaginosa","species"
44742,"Desulfovibrio fairfieldensis","species"
45851,"Eshraghiella crossota","species"
113107,"Streptococcus australis","species"
116085,"Pseudocoprococcus catus","species"
137591,"Weissella cibaria","species"
159836,"Megasphaera hominis","species"
209880,"Dialister histaminiformans","species"
214856,"Alistipes finegoldii","species"
290055,"Faecalicatena fissicatena","species"
338188,"Bacteroides finegoldii","species"
387090,"Phocaeicola coprophilus","species"
423477,"Veillonella rogosae","species"
544645,"Butyricimonas virosa","species"
1852381,"Duodenibacillus massiliensis","species"
1965560,"Lachnoclostridium sp. An138","species"
2292271,"Lachnospiraceae bacterium AM48-27BH","species"
2292281,"Bacteroides sp. OF04-15BH","species"
2292287,"Blautia sp. OF03-15BH","species"
2292441,"Paratractidigestivibacter faecalis","species"
2293107,"Eubacterium sp. AF34-35BH","species"
2485925,"Oscillospiraceae bacterium","species"
2518605,"Segatella hominis","species"
2652276,"Holdemanella porci","species"
2763017,"Anaerosacchariphilus hominis","species"
2763051,"Lachnospira hominis (ex Liu et al. 2021)","species"
2763061,"Roseburia lenta","species"
2763664,"Jutongia hominis","species"
2830659,"Clostridiaceae bacterium Marseille-Q4149","species"
2885348,"Hominifimenecus microfluidus","species"
901,"Desulfovibrio piger","species"
2754,"Synergistes jonesii","species"
106588,"Pseudoflavonifractor capillosus","species"
180164,"Blautia schinkii","species"
626932,"Alistipes indistinctus","species"
1099853,"Coprobacter fastidiosus","species"
1673717,"Anaeromassilibacillus senegalensis","species"
1702285,"Intestinimonas gabonensis","species"
1776384,"Emergencia timonensis","species"
1796628,"Longibaculum muris","species"
1852363,"Beduinella massiliensis","species"
1871020,"Clostridium sp. Marseille-P3244","species"
1871029,"Intestinibacillus massiliensis","species"
1917870,"Clostridium pacaense","species"
2292041,"Dorea sp. AF36-15AT","species"
2292190,"Alistipes sp. AF17-16","species"
2293831,"Lachnospiraceae bacterium OF09-6","species"
2763016,"Anaerofilum hominis","species"
2763037,"Clostridium lentum","species"
2763052,"Lawsonibacter faecis","species"
2763057,"Parabacteroides hominis","species"
2763645,"Lentihominibacter hominis","species"
2763655,"Gehongia tenuis","species"
2763656,"Guopingia tenuis","species"
2763670,"Wujia chipingensis","species"
2764325,"Hoskinsella hominis","species"
2830655,"Oscillospiraceae bacterium Marseille-Q3528","species"
2830656,"Eubacteriaceae bacterium Marseille-Q4139","species"
2831996,"Eubacteriales bacterium","species"
2841526,"Oscillibacter sp. MSJ-31","species"
2850322,"Diplocloster modestus","species"
2173,"Methanobrevibacter smithii","species"
172901,"Victivallis vadensis","species"
225992,"Comamonas kerstersii","species"
291644,"Bacteroides salyersiae","species"
438033,"Ruminococcus gauvreauii","species"
544644,"Butyricimonas synergistica","species"
626931,"Bacteroides oleiciplenus","species"
1720200,"Anaerotruncus rubiinfantis","species"
1796636,"Frisingicoccus caecimuris","species"
1841855,"Bacteroides bouchesdurhonensis","species"
1841868,"Provencibacterium massiliense","species"
1871018,"Angelakisella massiliensis","species"
2093856,"Butyricimonas faecalis","species"
2137581,"Ellagibacter isourolithinifaciens","species"
2292032,"Coprobacillus sp. AF33-1AC","species"
2292066,"Roseburia sp. AM23-20","species"
2292363,"Parabacteroides sp. TM07-1AC","species"
2293015,"Clostridium sp. AF36-4","species"
2293104,"Eubacterium sp. AF16-48","species"
2508949,"Candidatus Borkfalkia ceftriaxoniphila","species"
2564099,"Ruminococcus bovis","species"
2606640,"Victivallis lenta","species"
2763053,"Lawsonibacter hominis","species"
2763056,"Oscillibacter hominis","species"
2763064,"Roseburia zhanii","species"
2763671,"Jingyaoa shaoxingensis","species"
2763675,"Jilunia laotingensis","species"
2779358,"Gallalistipes aquisgranensis","species"
2841521,"Anaerotignum sp. MSJ-24","species"
2883214,"Lacrimispora sp. 210928-DFI.3.58","species"
2885357,"Hominenteromicrobium mulieris","species"
2897708,"Mediterraneibacter sp. NSJ-151","species"
406,"Methylobacillus glycogenes","species"
573,"Klebsiella pneumoniae","species"
1655,"Actinomyces naeslundii","species"
1686,"Bifidobacterium catenulatum","species"
13690,"Sphingobium yanoikuyae","species"
29427,"Methylorubrum rhodesianum","species"
34062,"Faucicola osloensis","species"
39492,"[Eubacterium] siraeum","species"
40215,"Acinetobacter junii","species"
47671,"Lautropia mirabilis","species"
47885,"Pseudomonas oryzihabitans","species"
61592,"Corynebacterium durum","species"
134533,"Acinetobacter parvus","species"
172042,"Rothia aeria","species"
189381,"Rossellomorea marisflavi","species"
293050,"Rhodococcoides kroppenstedtii","species"
421767,"Peribacillus butanolivorans","species"
455343,"Micrococcus endophyticus","species"
626935,"Collinsella tanakaei","species"
648995,"Agrobacterium pusense","species"
999931,"Barrientosiimonas humi","species"
1049583,"Kocuria marina subsp. indica","subspecies"
1305649,NA,NA
1432564,"Brachybacterium aquaticum","species"
1774216,"Nocardioides rotundus","species"
1852370,"Prevotellamassilia timonensis","species"
2022527,"Prevotella sp. 885","species"
2079531,"Prevotella merdae","species"
2292201,"Clostridium sp. AF12-28","species"
2592640,"Blautia sp. MCC283","species"
2666183,"Pseudomonas juntendi","species"
2698682,"Solilutibacter oculi","species"
2781018,"Methylophilus sp. 13","species"
2789424,"Actinomyces sp. HMT897","species"
546,"Citrobacter freundii","species"
242230,"Eggerthella sinensis","species"
1816676,"Alistipes provencensis","species"
2547410,"Enterocloster alcoholdehydrogenati","species"
1308,"Streptococcus thermophilus","species"
1502,"Clostridium perfringens","species"
33945,"Enterococcus avium","species"
626929,"Bacteroides clarus","species"
1229621,"Anaerostipes rhamnosivorans","species"
1414720,"Clostridium saudiense","species"
1986206,"Candidatus Nanosynsacchari sp. TM7_ANC_38.39_G1_1","species"
511,"Alcaligenes faecalis","species"
78448,"Bifidobacterium pullorum","species"
658457,"Ectopseudomonas composti","species"
1965582,"Gemmiger sp. An194","species"
548,"Klebsiella aerogenes","species"
57706,"Citrobacter braakii","species"
158836,"Enterobacter hormaechei","species"
626930,"Bacteroides fluxus","species"
1473216,"Senegalimassilia anaerobia","species"
1871006,"Bacteroides congonensis","species"
2293138,"Roseburia sp. AM59-24XD","species"
2479840,"Prevotella marseillensis","species"
33031,"Peptoniphilus lacrimalis","species"
328812,"Parabacteroides goldsteinii","species"
742723,"Lachnospiraceae bacterium 2_1_46FAA","species"
1780380,"Eubacteriaceae bacterium CHKCI004","species"
1879010,"Bacillota bacterium","species"
2024197,"Bacteroides cutis","species"
2044939,"Clostridia bacterium","species"
2583452,"Amedibacterium intestinale","species"
214853,"Anaerofustis stercorihominis","species"
218538,"Dialister invisus","species"
1689270,"Intestinimonas timonensis","species"
52226,"Mitsuokella multacida","species"
89014,"Blautia luti","species"
1110546,"Veillonella tobetsuensis","species"
2292358,"Megasphaera sp. AM44-1BH","species"
2447885,"Bacteroides faecalis","species"
2763668,"Jutongia huaianensis","species"
244366,"Klebsiella variicola","species"
626940,"Phascolarctobacterium succinatutens","species"
1134687,"Klebsiella michiganensis","species"
1639133,"Citrobacter portucalensis","species"
2086583,"Pseudoruminococcus massiliensis","species"
2841531,"Pseudoflavonifractor sp. MSJ-37","species"
2885361,"Brotaphodocola catenula","species"
735,"Haemophilus parahaemolyticus","species"
736,"Haemophilus paraphrohaemolyticus","species"
1343,"Streptococcus vestibularis","species"
1735,"Holdemanella biformis","species"
2317,"Methanosphaera stadtmanae","species"
2841509,"Butyricicoccus intestinisimiae","species"
454155,"Paraprevotella xylaniphila","species"
2137880,"Candidatus Gastranaerophilales bacterium","species"
2787149,"Holdemania sp. 1001095H_141210_F2","species"
1352,"Enterococcus faecium","species"
574930,"Parabacteroides gordonii","species"
1987501,"Massiliimalia timonensis","species"
2605782,"Desulfovibrio porci","species"
861,"Fusobacterium ulcerans","species"
53442,"Eubacterium callanderi","species"
157733,"",""
712124,"Actinomyces sp. oral taxon 448","species"
1078480,"Haemophilus sputorum","species"
2292991,"Catenibacterium sp. AM22-15","species"
1197717,"Cloacibacillus porcorum","species"
2834112,"Bacteroides propionicigenes","species"
54291,"Klebsiella ornithinolytica","species"
61645,"Enterobacter asburiae","species"
208224,"Enterobacter kobei","species"
299767,"Enterobacter ludwigii","species"
1903261,"Mailhella massiliensis","species"
1982628,"Faecalibacillus faecis","species"
849,"Fusobacterium gonidiaformans","species"
28123,"Porphyromonas asaccharolytica","species"
39950,"Dialister pneumosintes","species"
1544,"Faecalicatena orotica","species"
29363,"Clostridium paraputrificum","species"
36834,"Clostridium celatum","species"
190976,"Methanobrevibacter woesei","species"
508460,"Cloacibacillus evryensis","species"
1117645,"Elizabethkingia anophelis","species"
1499683,"Clostridium culturomicium","species"
1602169,"Prevotella pectinovora","species"
1650663,"Allofournierella massiliensis","species"
1720300,"Mediterraneibacter massiliensis","species"
1965538,"Flavonifractor sp. An100","species"
2292244,"Pseudoflavonifractor sp. AF19-9AC","species"
2763036,"Clostridium hominis","species"
2763660,"Feifania hominis","species"
2763666,"Zhenhengia yiwuensis","species"
28025,"Bifidobacterium animalis","species"
52227,"Prevotella dentalis","species"
487173,"Dialister succinatiphilus","species"
572010,"Slackia isoflavoniconvertens","species"
944168,"Blastocystis sp. subtype 3","species"
1161942,"Ruminococcus champanellensis","species"
2293093,"Coprococcus sp. OM04-5BH","species"
2924040,"Parabacteroides faecalis","species"
2951805,"Parabacteroides absconsus","species"
76122,"Alloprevotella tannerae","species"
571438,"Desulfovibrio legallii","species"
1812935,"Enterobacter roggenkampii","species"
2714353,"Vescimonas fastidiosa","species"
2509433,"Senegalimassilia faecalis","species"
2292053,"Parabacteroides sp. AM08-6","species"
470,"Acinetobacter baumannii","species"
2100,"Mesomycoplasma hyorhinis","species"
1463165,"Klebsiella quasipneumoniae","species"
1664275,"Mycoplasma sp. HU2014","species"
1624,"Ligilactobacillus salivarius","species"
28037,"Streptococcus mitis","species"
51288,"Kluyvera ascorbata","species"
1841864,"Marseilla massiliensis","species"
571,"Klebsiella oxytoca","species"
1351,"Enterococcus faecalis","species"
1597,"Lacticaseibacillus paracasei","species"
1694,"Bifidobacterium pseudolongum","species"
1727,"Corynebacterium variabile","species"
28198,"Aliarcobacter cryaerophilus","species"
33959,"Lactobacillus johnsonii","species"
47715,"Lacticaseibacillus rhamnosus","species"
57732,"Enterococcus asini","species"
71452,"Enterococcus raffinosus","species"
76113,"Thauera terpenica","species"
117506,"Comamonas denitrificans","species"
133926,"Olsenella uli","species"
160404,"Anaerotignum lactatifermentans","species"
418702,"Azonexus hydrophilus","species"
879969,"Macellibacteroides fermentans","species"
2014528,"Corynebacterium dentalis","species"
2603274,NA,NA
2918299,"Comamonas sp. B21-038","species"
1625,"Fructilactobacillus sanfranciscensis","species"
84024,"Clostridium disporicum","species"
1234680,"Streptococcus rubneri","species"
712888,"Actinobaculum sp. oral taxon 183","species"
85831,"Bacteroides acidifaciens","species"
1472761,"Enorma massiliensis","species"
1917883,"Bacteroides togonis","species"
2690837,"Eggerthella guodeyinii","species"
1119528,"Methyloversatilis discipulorum","species"
1917878,"Prevotella ihumii","species"
2291999,"Bacteroides sp. AF39-11AC","species"
1303,"Streptococcus oralis","species"
45634,"Streptococcus cristatus","species"
626947,"Parasutterella secunda","species"
651822,"Fretibacterium fastidiosum","species"
999425,"Streptococcus sp. F0442","species"
1504822,"bacterium OL-1","species"
1776379,"Leyella lascolaii","species"
2292211,"Collinsella sp. AF08-23","species"
1499973,"Escherichia marmotae","species"
2364792,"Intestinibacillus sp. Marseille-P6563","species"
2763033,"Christensenella tenuis","species"
2883176,"Lachnospiraceae bacterium EP-SM-12S-S03","species"
1739394,"Porphyromonas sp. HMSC065F10","species"
197,"Campylobacter jejuni","species"
1302,"Streptococcus gordonii","species"
1358,"Lactococcus lactis","species"
28129,"Prevotella denticola","species"
395631,"Phytobacter diazotrophicus","species"
881260,"Enterobacter bugandensis","species"
1402,"Bacillus licheniformis","species"
1404,"Priestia megaterium","species"
28141,"Cronobacter sakazakii","species"
54915,"Brevibacillus reuszeri","species"
1581038,"Bacillus sp. FJAT-22090","species"
1705565,"Paenibacillus solani","species"
1742358,"Cytobacillus praedii","species"
2115968,"Lysinibacillus capsici","species"
437898,"Sutterella parvirubra","species"
626938,"Succinatimonas hippei","species"
871327,"Parabacteroides chinchillae","species"
1291540,"Methanomethylophilus alvi","species"
1547597,"Sanguibacteroides justesenii","species"
2086584,"Massilistercora timonensis","species"
2606708,"Mogibacterium kristiansenii","species"
2717288,"Victivallis sp. Marseille-Q1083","species"
2763644,"Zhenpiania hominis","species"
2763673,"Yanshouia hominis","species"
1451,"Paenibacillus amylolyticus","species"
1473,"Virgibacillus pantothenticus","species"
584,"Proteus mirabilis","species"
28139,"Rikenella microfusus","species"
638849,"Pyramidobacter piscolens","species"
1632013,"Drancourtella massiliensis","species"
1917868,"Blautia marasmi","species"
1496,"Clostridioides difficile","species"
847,"Oxalobacter formigenes","species"
89152,"Peptacetobacter hiranonis","species"
1673720,"Anaerotruncus massiliensis (ex Togo et al. 2026)","species"
1034346,"Dielma fastidiosa","species"
1816689,"Sutterella massiliensis","species"
1852375,"Acidaminococcus massiliensis","species"
1871021,"Lachnoclostridium phocaeense","species"
2086585,"Maliibacterium massiliense","species"
2290935,"Parabacteroides acidifaciens","species"
1623,"Ligilactobacillus ruminis","species"
2292192,"Bacteroides sp. AF16-49","species"
529,"Brucella anthropi","species"
851,"Fusobacterium nucleatum","species"
28131,"Prevotella intermedia","species"
35519,"Mogibacterium timidum","species"
42817,"Corynebacterium argentoratense","species"
52768,"Schaalia georgiae","species"
53345,"Enterococcus durans","species"
76860,"Streptococcus constellatus","species"
150055,"Streptococcus lutetiensis","species"
181487,"Schaalia cardiffensis","species"
305719,"Segatella baroniae","species"
341694,"Peptostreptococcus stomatis","species"
417368,"Enterococcus thailandicus","species"
671214,"Oribacterium sp. oral taxon 102","species"
712466,"Prevotella sp. oral taxon 376","species"
712982,"Lachnospiraceae bacterium oral taxon 096","species"
199,"Campylobacter concisus","species"
1305,"Streptococcus sanguinis","species"
89153,"[Clostridium] hylemonae","species"
671266,"Adlercreutzia caecimuris","species"
712362,"Leptotrichia sp. oral taxon 221","species"
1507512,"Romboutsia hominis","species"
2078569,"Gordonibacter sp. 28C","species"
1771309,"Salinicola tamaricis","species"
2739389,"Phocaeicola faecicola","species"
565,"Atlantibacter hermannii","species"
2058152,"Klebsiella grimontii","species"
2763657,"Congzhengia minquanensis","species"
2763678,"Youxingia wuxianensis","species"
2067550,"Clostridium sp. chh4-2","species"
47770,"Lactobacillus crispatus","species"
1579,"Lactobacillus acidophilus","species"
230658,"Paraeggerthella hongkongensis","species"
501496,"Porphyromonas bennonis","species"
46507,"Ezakiella coagulans","species"
76517,"Campylobacter hominis","species"
539813,"Enterobacter mori","species"
905,"Acidaminococcus fermentans","species"
33964,"Leuconostoc citreum","species"
2605778,"Clostridium porci","species"
2763676,"Qingrenia yutianensis","species"
876,"Desulfovibrio desulfuricans","species"
626937,"Christensenella minuta","species"
1465754,"Alistipes timonensis","species"
100886,"Catenibacterium mitsuokai","species"
1944635,"Sutterella seckii","species"
28126,"Segatella buccae","species"
180332,"Robinsoniella peoriensis","species"
2725494,"Kluyvera sichuanensis","species"
1246,"Leuconostoc lactis","species"
1492,"Clostridium butyricum","species"
1631,"Fructobacillus fructosus","species"
187979,"Mitsuokella jalaludinii","species"
2883233,"Ruminococcus sp. 210702-SL.1.03","species"
109327,"Anaerovorax odorimutans","species"
2479838,"Clostridium transplantifaecale","species"
2830675,"Dysosmobacter sp. Marseille-Q4140","species"
2292893,"Firmicutes bacterium AM41-11","species"
580,"Kluyvera cryocrescens","species"
582,"Morganella morganii","species"
587,"Providencia rettgeri","species"
644,"Aeromonas hydrophila","species"
654,"Aeromonas veronii","species"
29494,"Vibrio furnissii","species"
126385,"Providencia alcalifaciens","species"
158850,"Providencia rustigianii","species"
546367,"Hafnia paralvei","species"
1183410,"Agrobacterium tomkonis","species"
1857218,"Candidatus Enterococcus leclercqii","species"
2144175,"Megasphaera stantonii","species"
92488,"Pantoea endophytica","species"
1936995,"Parabacteroides bouchesdurhonensis","species"
2530390,"Muribaculum gordoncarteri","species"
1776382,"Neglectibacter timonensis","species"
860,"Fusobacterium periodonticum","species"
28449,"Neisseria subflava","species"
83655,"Leclercia adecarboxylata","species"
341220,"Lactonifactor longoviformis","species"
1780379,"Clostridiales bacterium CHKCI006","species"
1816678,"Christensenella timonensis","species"
1852383,"Ruminococcaceae bacterium Marseille-P2935","species"
2763659,"Fumia xinanensis","species"
2763662,"Yeguia hominis","species"
2786956,"Phocaeicola faecalis","species"
28132,"Prevotella melaninogenica","species"
